date,Microsoft stock_unscaled
2011-06-24,23
2011-06-25,100
2011-06-26,53
2011-06-27,33
2011-06-28,49
2011-06-29,85
2011-06-30,34
2011-07-01,29
2011-07-02,33
2011-07-03,46
2011-07-04,54
2011-07-05,23
2011-07-06,27
2011-07-07,64
2011-07-08,49
2011-07-09,35
2011-07-10,32
2011-07-11,53
2011-07-12,52
2011-07-13,47
2011-07-14,48
2011-07-15,39
2011-07-16,42
2011-07-17,21
2011-07-18,71
2011-07-19,100
2011-07-20,47
2011-07-21,53
2011-07-22,60
2011-07-23,49
2011-07-24,31
2011-07-25,36
2011-07-26,61
2011-07-27,26
2011-07-28,63
2011-07-29,49
2011-07-30,20
2011-07-31,31
2011-08-01,29
2011-08-02,34
2011-08-03,28
2011-08-04,57
2011-08-05,66
2011-08-06,44
2011-08-07,30
2011-08-08,62
2011-08-09,100
2011-08-10,92
2011-08-11,58
2011-08-12,36
2011-08-13,56
2011-08-14,22
2011-08-15,80
2011-08-16,51
2011-08-17,58
2011-08-18,64
2011-08-19,48
2011-08-20,77
2011-08-21,22
2011-08-22,51
2011-08-23,49
2011-08-24,50
2011-08-25,78
2011-08-26,23
2011-08-27,63
2011-08-28,21
2011-08-29,51
2011-08-30,22
2011-08-31,51
2011-09-01,79
2011-09-02,27
2011-09-03,0
2011-09-04,23
2011-09-05,30
2011-09-06,25
2011-09-07,25
2011-09-08,34
2011-09-09,71
2011-09-10,21
2011-09-11,21
2011-09-12,25
2011-09-13,33
2011-09-14,100
2011-09-15,34
2011-09-16,36
2011-09-17,44
2011-09-18,0
2011-09-19,50
2011-09-20,58
2011-09-21,67
2011-09-22,91
2011-09-23,70
2011-09-24,32
2011-09-25,42
2011-09-26,33
2011-09-27,66
2011-09-28,99
2011-09-29,42
2011-09-30,71
2011-10-01,61
2011-10-02,30
2011-10-03,66
2011-10-04,34
2011-10-05,57
2011-10-06,100
2011-10-07,49
2011-10-08,30
2011-10-09,22
2011-10-10,62
2011-10-11,43
2011-10-12,36
2011-10-13,27
2011-10-14,24
2011-10-15,15
2011-10-16,15
2011-10-17,34
2011-10-18,37
2011-10-19,45
2011-10-20,46
2011-10-21,45
2011-10-22,30
2011-10-23,29
2011-10-24,23
2011-10-25,30
2011-10-26,17
2011-10-27,53
2011-10-28,24
2011-10-29,29
2011-10-30,34
2011-10-31,41
2011-11-01,77
2011-11-02,74
2011-11-03,65
2011-11-04,58
2011-11-05,46
2011-11-06,45
2011-11-07,73
2011-11-08,81
2011-11-09,27
2011-11-10,55
2011-11-11,39
2011-11-12,23
2011-11-13,34
2011-11-14,45
2011-11-15,54
2011-11-16,45
2011-11-17,37
2011-11-18,19
2011-11-19,23
2011-11-20,23
2011-11-21,100
2011-11-22,45
2011-11-23,19
2011-11-24,0
2011-11-25,23
2011-11-26,35
2011-11-27,67
2011-11-28,17
2011-11-29,86
2011-11-30,61
2011-12-01,100
2011-12-02,92
2011-12-03,25
2011-12-04,25
2011-12-05,98
2011-12-06,39
2011-12-07,88
2011-12-08,70
2011-12-09,51
2011-12-10,50
2011-12-11,49
2011-12-12,79
2011-12-13,19
2011-12-14,30
